month_date,grade,from_bucket,to_bucket,from_balance,to_balance,flow_rate
2008-05-01,F,Current,30+,260472.58,0.0,0.0
2008-05-01,G,Current,30+,36909.7,0.0,0.0
2008-06-01,A,Current,30+,1126413.26,0.0,0.0
2008-06-01,B,Current,30+,2996939.82,0.0,0.0
2008-06-01,C,Current,30+,2310506.51,0.0,0.0
2008-06-01,C,30+,60+,7246.25,7246.25,1.0
2008-06-01,C,60+,90+,1891.25,1891.25,1.0
2008-06-01,C,120+,150+,2698.75,2698.75,1.0
2008-06-01,D,Current,30+,1537091.38,31620.0,0.020571
2008-06-01,D,30+,60+,7650.0,7650.0,1.0
2008-06-01,E,Current,30+,645182.47,0.0,0.0
2008-06-01,F,Current,30+,254718.98,0.0,0.0
2008-06-01,G,Current,30+,36054.4,0.0,0.0
2008-07-01,A,Current,30+,1211975.87,0.0,0.0
2008-07-01,B,Current,30+,3070776.25,13005.0,0.004235
2008-07-01,C,Current,30+,2416108.18,2805.0,0.001161
2008-07-01,C,60+,90+,7246.25,7246.25,1.0
2008-07-01,C,90+,120+,1891.25,1891.25,1.0
2008-07-01,C,150+,180+,2698.75,2698.75,1.0
2008-07-01,D,Current,30+,1559827.51,30430.0,0.019509
2008-07-01,D,30+,60+,31620.0,31620.0,1.0
2008-07-01,D,60+,90+,7650.0,7650.0,1.0
2008-07-01,E,Current,30+,650793.84,0.0,0.0
2008-07-01,F,Current,30+,251528.39,0.0,0.0
2008-07-01,G,Current,30+,35186.49,0.0,0.0
2008-08-01,A,Current,30+,1207306.34,0.0,0.0
2008-08-01,B,Current,30+,3028048.27,12750.0,0.004211
2008-08-01,B,30+,60+,13005.0,13005.0,1.0
2008-08-01,C,Current,30+,2430210.04,12580.0,0.005177
2008-08-01,C,30+,60+,2805.0,2805.0,1.0
2008-08-01,C,90+,120+,7246.25,0.0,0.0
2008-08-01,C,120+,150+,1891.25,9137.5,1.0
2008-08-01,C,180+,GCO,2698.75,2698.75,1.0
2008-08-01,D,Current,30+,1538203.55,46665.0,0.030337
2008-08-01,D,30+,60+,30430.0,26180.0,0.860335
2008-08-01,D,60+,90+,31620.0,49470.0,1.0
2008-08-01,D,90+,120+,7650.0,7650.0,1.0
2008-08-01,E,Current,30+,646143.15,21250.0,0.032887
2008-08-01,F,Current,30+,258208.49,0.0,0.0
2008-08-01,G,Current,30+,34305.77,0.0,0.0
2008-09-01,A,Current,30+,1204283.73,0.0,0.0
2008-09-01,B,Current,30+,2946367.11,17850.0,0.006058
2008-09-01,B,30+,60+,12750.0,12750.0,1.0
2008-09-01,B,60+,90+,13005.0,13005.0,1.0
2008-09-01,C,Current,30+,2407435.84,18381.25,0.007635
2008-09-01,C,30+,60+,12580.0,12580.0,1.0
2008-09-01,C,60+,90+,2805.0,2805.0,1.0
2008-09-01,C,150+,180+,9137.5,9137.5,1.0
2008-09-01,D,Current,30+,1478848.29,23375.0,0.015806
2008-09-01,D,30+,60+,46665.0,46665.0,1.0
2008-09-01,D,60+,90+,26180.0,26180.0,1.0
2008-09-01,D,90+,120+,49470.0,49470.0,1.0
2008-09-01,D,120+,150+,7650.0,7650.0,1.0
2008-09-01,E,Current,30+,615629.6,21250.0,0.034518
2008-09-01,E,30+,60+,21250.0,21250.0,1.0
2008-09-01,F,Current,30+,256309.77,0.0,0.0
2008-09-01,G,Current,30+,33087.5,0.0,0.0
2008-10-01,A,Current,30+,1288960.95,0.0,0.0
2008-10-01,B,Current,30+,3033618.61,29792.5,0.009821
2008-10-01,B,30+,60+,17850.0,17850.0,1.0
2008-10-01,B,60+,90+,12750.0,12750.0,1.0
2008-10-01,B,90+,120+,13005.0,13005.0,1.0
2008-10-01,C,Current,30+,2560625.35,42415.0,0.016564
2008-10-01,C,30+,60+,18381.25,18381.25,1.0
2008-10-01,C,60+,90+,12580.0,12580.0,1.0
2008-10-01,C,90+,120+,2805.0,2805.0,1.0
2008-10-01,C,180+,GCO,9137.5,11836.25,1.0
2008-10-01,D,Current,30+,1521896.97,44030.0,0.028931
2008-10-01,D,30+,60+,23375.0,25925.0,1.0
2008-10-01,D,60+,90+,46665.0,46665.0,1.0
2008-10-01,D,90+,120+,26180.0,26180.0,1.0
2008-10-01,D,120+,150+,49470.0,40885.0,0.82646
2008-10-01,D,150+,180+,7650.0,16235.0,1.0
2008-10-01,E,Current,30+,656910.5,4250.0,0.00647
2008-10-01,E,30+,60+,21250.0,21250.0,1.0
2008-10-01,E,60+,90+,21250.0,21250.0,1.0
2008-10-01,F,Current,30+,251710.98,0.0,0.0
2008-10-01,G,Current,30+,32175.63,0.0,0.0
2008-11-01,A,Current,30+,1437849.0,0.0,0.0
2008-11-01,B,Current,30+,3511200.7,0.0,0.0
2008-11-01,B,30+,60+,29792.5,29792.5,1.0
2008-11-01,B,60+,90+,17850.0,17850.0,1.0
2008-11-01,B,90+,120+,12750.0,12750.0,1.0
2008-11-01,B,120+,150+,13005.0,13005.0,1.0
2008-11-01,C,Current,30+,2841966.18,7650.0,0.002692
2008-11-01,C,30+,60+,42415.0,42415.0,1.0
2008-11-01,C,60+,90+,18381.25,18381.25,1.0
2008-11-01,C,90+,120+,12580.0,12580.0,1.0
2008-11-01,C,120+,150+,2805.0,2805.0,1.0
2008-11-01,D,Current,30+,1728164.8,9350.0,0.00541
2008-11-01,D,30+,60+,44030.0,46580.0,1.0
2008-11-01,D,60+,90+,25925.0,23375.0,0.901639
2008-11-01,D,90+,120+,46665.0,46665.0,1.0
2008-11-01,D,120+,150+,26180.0,26180.0,1.0
2008-11-01,D,150+,180+,40885.0,49470.0,1.0
2008-11-01,D,180+,GCO,16235.0,7650.0,0.471204
2008-11-01,E,Current,30+,801497.92,0.0,0.0
2008-11-01,E,30+,60+,4250.0,4250.0,1.0
2008-11-01,E,60+,90+,21250.0,21250.0,1.0
2008-11-01,E,90+,120+,21250.0,21250.0,1.0
2008-11-01,F,Current,30+,246112.9,0.0,0.0
2008-11-01,G,Current,30+,60450.31,0.0,0.0
2008-12-01,A,Current,30+,1747397.84,0.0,0.0
2008-12-01,B,Current,30+,4018566.93,6375.0,0.001586
2008-12-01,B,60+,90+,29792.5,29792.5,1.0
2008-12-01,B,90+,120+,17850.0,17850.0,1.0
2008-12-01,B,120+,150+,12750.0,12750.0,1.0
2008-12-01,B,150+,180+,13005.0,13005.0,1.0
2008-12-01,C,Current,30+,3495613.49,8500.0,0.002432
2008-12-01,C,30+,60+,7650.0,7650.0,1.0
2008-12-01,C,60+,90+,42415.0,42415.0,1.0
2008-12-01,C,90+,120+,18381.25,18381.25,1.0
2008-12-01,C,120+,150+,12580.0,12580.0,1.0
2008-12-01,C,150+,180+,2805.0,2805.0,1.0
2008-12-01,D,Current,30+,1947745.3,19550.0,0.010037
2008-12-01,D,30+,60+,9350.0,9350.0,1.0
2008-12-01,D,60+,90+,46580.0,44030.0,0.945255
2008-12-01,D,90+,120+,23375.0,25925.0,1.0
2008-12-01,D,120+,150+,46665.0,46665.0,1.0
2008-12-01,D,150+,180+,26180.0,26180.0,1.0
2008-12-01,D,180+,GCO,49470.0,57120.0,1.0
2008-12-01,E,Current,30+,922673.31,0.0,0.0
2008-12-01,E,60+,90+,4250.0,4250.0,1.0
2008-12-01,E,90+,120+,21250.0,21250.0,1.0
2008-12-01,E,120+,150+,21250.0,21250.0,1.0
2008-12-01,F,Current,30+,293965.71,0.0,0.0
2008-12-01,G,Current,30+,59511.34,0.0,0.0
2009-01-01,A,Current,30+,2112994.61,0.0,0.0
2009-01-01,B,Current,30+,4432571.87,60073.75,0.013553
2009-01-01,B,30+,60+,6375.0,6375.0,1.0
2009-01-01,B,60+,90+,4250.0,4250.0,1.0
2009-01-01,B,90+,120+,29792.5,29792.5,1.0
2009-01-01,B,120+,150+,17850.0,17850.0,1.0
2009-01-01,B,150+,180+,12750.0,12750.0,1.0
2009-01-01,B,180+,GCO,13005.0,13005.0,1.0
2009-01-01,C,Current,30+,3865451.19,40247.5,0.010412
2009-01-01,C,30+,60+,8500.0,8500.0,1.0
2009-01-01,C,60+,90+,7650.0,7650.0,1.0
2009-01-01,C,90+,120+,42415.0,42415.0,1.0
2009-01-01,C,120+,150+,18381.25,18381.25,1.0
2009-01-01,C,150+,180+,12580.0,12580.0,1.0
2009-01-01,C,180+,GCO,2805.0,14641.25,1.0
2009-01-01,D,Current,30+,2318978.1,15470.0,0.006671
2009-01-01,D,30+,60+,19550.0,19550.0,1.0
2009-01-01,D,60+,90+,9350.0,9350.0,1.0
2009-01-01,D,90+,120+,44030.0,44030.0,1.0
2009-01-01,D,120+,150+,25925.0,25925.0,1.0
2009-01-01,D,150+,180+,46665.0,46665.0,1.0
2009-01-01,D,180+,GCO,26180.0,83300.0,1.0
2009-01-01,E,Current,30+,1004603.45,0.0,0.0
2009-01-01,E,90+,120+,4250.0,4250.0,1.0
2009-01-01,E,120+,150+,21250.0,21250.0,1.0
2009-01-01,E,150+,180+,21250.0,21250.0,1.0
2009-01-01,F,Current,30+,321296.2,0.0,0.0
2009-01-01,G,Current,30+,58558.5,0.0,0.0
2009-02-01,A,Current,30+,2463911.86,0.0,0.0
2009-02-01,B,Current,30+,4551842.74,60073.75,0.013198
2009-02-01,B,30+,60+,60073.75,6375.0,0.10612
2009-02-01,B,60+,90+,6375.0,4250.0,0.666667
2009-02-01,B,90+,120+,4250.0,29792.5,1.0
2009-02-01,B,120+,150+,29792.5,17850.0,0.599144
2009-02-01,B,150+,180+,17850.0,12750.0,0.714286
2009-02-01,B,180+,GCO,12750.0,13005.0,1.0
2009-02-01,C,Current,30+,4538890.2,40247.5,0.008867
2009-02-01,C,30+,60+,40247.5,8500.0,0.211193
2009-02-01,C,60+,90+,8500.0,7650.0,0.9
2009-02-01,C,90+,120+,7650.0,42415.0,1.0
2009-02-01,C,120+,150+,42415.0,18381.25,0.433367
2009-02-01,C,150+,180+,18381.25,12580.0,0.684393
2009-02-01,C,180+,GCO,12580.0,14641.25,1.0
2009-02-01,D,Current,30+,2671084.31,15470.0,0.005792
2009-02-01,D,30+,60+,15470.0,19550.0,1.0
2009-02-01,D,60+,90+,19550.0,9350.0,0.478261
2009-02-01,D,90+,120+,9350.0,44030.0,1.0
2009-02-01,D,120+,150+,44030.0,25925.0,0.588803
2009-02-01,D,150+,180+,25925.0,46665.0,1.0
2009-02-01,D,180+,GCO,46665.0,83300.0,1.0
2009-02-01,E,Current,30+,1221300.72,0.0,0.0
2009-02-01,E,120+,150+,4250.0,21250.0,1.0
2009-02-01,E,150+,180+,21250.0,21250.0,1.0
2009-02-01,E,180+,GCO,21250.0,0.0,0.0
2009-02-01,F,Current,30+,333119.5,0.0,0.0
2009-02-01,G,Current,30+,38391.61,0.0,0.0
2009-03-01,A,Current,30+,2976979.47,0.0,0.0
2009-03-01,B,Current,30+,4827960.43,31195.0,0.006461
2009-03-01,B,30+,60+,60073.75,32300.0,0.537672
2009-03-01,B,60+,90+,6375.0,36698.75,1.0
2009-03-01,B,90+,120+,4250.0,4250.0,1.0
2009-03-01,B,120+,150+,29792.5,21250.0,0.713267
2009-03-01,B,150+,180+,17850.0,8542.5,0.478571
2009-03-01,B,180+,GCO,12750.0,43605.0,1.0
2009-03-01,C,Current,30+,5488811.45,46686.25,0.008506
2009-03-01,C,30+,60+,40247.5,0.0,0.0
2009-03-01,C,60+,90+,8500.0,48747.5,1.0
2009-03-01,C,90+,120+,7650.0,0.0,0.0
2009-03-01,C,120+,150+,42415.0,28815.0,0.679359
2009-03-01,C,150+,180+,18381.25,27625.0,1.0
2009-03-01,C,180+,GCO,12580.0,39227.5,1.0
2009-03-01,D,Current,30+,3201359.31,64918.75,0.020278
2009-03-01,D,30+,60+,15470.0,0.0,0.0
2009-03-01,D,60+,90+,19550.0,35020.0,1.0
2009-03-01,D,90+,120+,9350.0,9350.0,1.0
2009-03-01,D,120+,150+,44030.0,23630.0,0.53668
2009-03-01,D,150+,180+,25925.0,46325.0,1.0
2009-03-01,D,180+,GCO,46665.0,129965.0,1.0
2009-03-01,E,Current,30+,1503700.72,38250.0,0.025437
2009-03-01,E,120+,150+,4250.0,4250.0,1.0
2009-03-01,E,150+,180+,21250.0,21250.0,1.0
2009-03-01,E,180+,GCO,21250.0,21250.0,1.0
2009-03-01,F,Current,30+,370243.72,0.0,0.0
2009-03-01,G,Current,30+,38391.61,20400.0,0.531366
2009-04-01,A,Current,30+,3495305.43,8925.0,0.002553
2009-04-01,B,Current,30+,5107600.52,22503.75,0.004406
2009-04-01,B,30+,60+,31195.0,33745.0,1.0
2009-04-01,B,60+,90+,32300.0,60073.75,1.0
2009-04-01,B,90+,120+,36698.75,6375.0,0.173712
2009-04-01,B,120+,150+,4250.0,4250.0,1.0
2009-04-01,B,150+,180+,21250.0,29792.5,1.0
2009-04-01,B,180+,GCO,8542.5,43605.0,1.0
2009-04-01,C,Current,30+,6037911.4,21250.0,0.003519
2009-04-01,C,30+,60+,46686.25,46686.25,1.0
2009-04-01,C,90+,120+,48747.5,8500.0,0.174368
2009-04-01,C,150+,180+,28815.0,42415.0,1.0
2009-04-01,C,180+,GCO,27625.0,45602.5,1.0
2009-04-01,D,Current,30+,3567233.26,35020.0,0.009817
2009-04-01,D,30+,60+,64918.75,50893.75,0.783961
2009-04-01,D,90+,120+,35020.0,19550.0,0.558252
2009-04-01,D,120+,150+,9350.0,9350.0,1.0
2009-04-01,D,150+,180+,23630.0,44030.0,1.0
2009-04-01,D,180+,GCO,46325.0,155890.0,1.0
2009-04-01,E,Current,30+,1681106.72,0.0,0.0
2009-04-01,E,30+,60+,38250.0,54633.75,1.0
2009-04-01,E,60+,90+,16383.75,0.0,0.0
2009-04-01,E,150+,180+,4250.0,4250.0,1.0
2009-04-01,E,180+,GCO,21250.0,42500.0,1.0
2009-04-01,F,Current,30+,404780.51,6056.25,0.014962
2009-04-01,F,60+,90+,5525.0,0.0,0.0
2009-04-01,G,Current,30+,36775.76,0.0,0.0
2009-04-01,G,30+,60+,20400.0,20400.0,1.0
2009-05-01,A,Current,30+,3922356.19,0.0,0.0
2009-05-01,A,30+,60+,8925.0,15725.0,1.0
2009-05-01,B,Current,30+,6116866.32,0.0,0.0
2009-05-01,B,30+,60+,22503.75,14003.75,0.622285
2009-05-01,B,60+,90+,33745.0,39695.0,1.0
2009-05-01,B,90+,120+,60073.75,32300.0,0.537672
2009-05-01,B,120+,150+,6375.0,36698.75,1.0
2009-05-01,B,150+,180+,4250.0,4250.0,1.0
2009-05-01,B,180+,GCO,29792.5,73397.5,1.0
2009-05-01,C,Current,30+,6620602.8,72016.25,0.010878
2009-05-01,C,30+,60+,21250.0,0.0,0.0
2009-05-01,C,60+,90+,46686.25,67936.25,1.0
2009-05-01,C,90+,120+,40247.5,0.0,0.0
2009-05-01,C,120+,150+,8500.0,48747.5,1.0
2009-05-01,C,150+,180+,7650.0,0.0,0.0
2009-05-01,C,180+,GCO,42415.0,95667.5,1.0
2009-05-01,D,Current,30+,3844814.68,29006.25,0.007544
2009-05-01,D,30+,60+,35020.0,27370.0,0.781553
2009-05-01,D,60+,90+,50893.75,51318.75,1.0
2009-05-01,D,90+,120+,15470.0,13600.0,0.879121
2009-05-01,D,120+,150+,19550.0,35020.0,1.0
2009-05-01,D,150+,180+,9350.0,9350.0,1.0
2009-05-01,D,180+,GCO,44030.0,199920.0,1.0
2009-05-01,E,Current,30+,1780770.0,8500.0,0.004773
2009-05-01,E,60+,90+,54633.75,17000.0,0.311163
2009-05-01,E,180+,GCO,4250.0,46750.0,1.0
2009-05-01,F,Current,30+,475539.89,0.0,0.0
2009-05-01,F,30+,60+,6056.25,21356.25,1.0
2009-05-01,F,60+,90+,5525.0,0.0,0.0
2009-05-01,G,Current,30+,36414.8,0.0,0.0
2009-05-01,G,60+,90+,20400.0,20400.0,1.0
2009-06-01,A,Current,30+,4444216.21,0.0,0.0
2009-06-01,A,60+,90+,15725.0,8925.0,0.567568
2009-06-01,B,Current,30+,7084282.1,33638.75,0.004748
2009-06-01,B,60+,90+,14003.75,22503.75,1.0
2009-06-01,B,90+,120+,39695.0,33745.0,0.850107
2009-06-01,B,120+,150+,32300.0,60073.75,1.0
2009-06-01,B,150+,180+,36698.75,6375.0,0.173712
2009-06-01,B,180+,GCO,4250.0,77647.5,1.0
2009-06-01,C,Current,30+,7109946.77,96645.0,0.013593
2009-06-01,C,30+,60+,72016.25,58416.25,0.811154
2009-06-01,C,90+,120+,67936.25,46686.25,0.687207
2009-06-01,C,150+,180+,48747.5,8500.0,0.174368
2009-06-01,D,Current,30+,4004108.6,29580.0,0.007387
2009-06-01,D,30+,60+,29006.25,31131.25,1.0
2009-06-01,D,60+,90+,27370.0,35020.0,1.0
2009-06-01,D,90+,120+,51318.75,50893.75,0.991718
2009-06-01,D,120+,150+,13600.0,15470.0,1.0
2009-06-01,D,150+,180+,35020.0,19550.0,0.558252
2009-06-01,D,180+,GCO,9350.0,209270.0,1.0
2009-06-01,E,Current,30+,1744072.18,41650.0,0.023881
2009-06-01,E,30+,60+,8500.0,8500.0,1.0
2009-06-01,E,90+,120+,17000.0,54633.75,1.0
2009-06-01,E,120+,150+,37633.75,0.0,0.0
2009-06-01,F,Current,30+,449977.76,29325.0,0.06517
2009-06-01,F,60+,90+,21356.25,6056.25,0.283582
2009-06-01,F,120+,150+,5525.0,0.0,0.0
2009-06-01,G,Current,30+,61951.31,0.0,0.0
2009-06-01,G,90+,120+,20400.0,20400.0,1.0
2009-07-01,A,Current,30+,5016082.68,0.0,0.0
2009-07-01,A,60+,90+,6800.0,0.0,0.0
2009-07-01,A,90+,120+,8925.0,15725.0,1.0
2009-07-01,B,Current,30+,8085667.05,34637.5,0.004284
2009-07-01,B,30+,60+,33638.75,54888.75,1.0
2009-07-01,B,90+,120+,22503.75,14003.75,0.622285
2009-07-01,B,120+,150+,33745.0,39695.0,1.0
2009-07-01,B,150+,180+,60073.75,32300.0,0.537672
2009-07-01,B,180+,GCO,6375.0,114346.25,1.0
2009-07-01,C,Current,30+,7814853.29,55760.0,0.007135
2009-07-01,C,30+,60+,96645.0,83045.0,0.859279
2009-07-01,C,60+,90+,58416.25,72016.25,1.0
2009-07-01,C,90+,120+,21250.0,0.0,0.0
2009-07-01,C,120+,150+,46686.25,67936.25,1.0
2009-07-01,C,150+,180+,40247.5,0.0,0.0
2009-07-01,C,180+,GCO,8500.0,144415.0,1.0
2009-07-01,D,Current,30+,4298834.36,45241.25,0.010524
2009-07-01,D,30+,60+,29580.0,25330.0,0.856322
2009-07-01,D,60+,90+,31131.25,29006.25,0.931741
2009-07-01,D,90+,120+,35020.0,27370.0,0.781553
2009-07-01,D,120+,150+,50893.75,51318.75,1.0
2009-07-01,D,150+,180+,15470.0,13600.0,0.879121
2009-07-01,D,180+,GCO,19550.0,244290.0,1.0
2009-07-01,E,Current,30+,1878914.29,13918.75,0.007408
2009-07-01,E,30+,60+,41650.0,60647.5,1.0
2009-07-01,E,60+,90+,8500.0,8500.0,1.0
2009-07-01,E,120+,150+,54633.75,17000.0,0.311163
2009-07-01,F,Current,30+,542038.67,21250.0,0.039204
2009-07-01,F,30+,60+,29325.0,29325.0,1.0
2009-07-01,F,60+,90+,15300.0,0.0,0.0
2009-07-01,F,90+,120+,6056.25,21356.25,1.0
2009-07-01,F,120+,150+,5525.0,0.0,0.0
2009-07-01,G,Current,30+,138379.22,0.0,0.0
2009-07-01,G,120+,150+,20400.0,20400.0,1.0
2009-08-01,A,Current,30+,5610683.52,12112.5,0.002159
2009-08-01,A,120+,150+,15725.0,6800.0,0.432432
2009-08-01,B,Current,30+,9174907.66,74991.25,0.008174
2009-08-01,B,30+,60+,34637.5,30770.0,0.888344
2009-08-01,B,60+,90+,54888.75,40757.5,0.742547
2009-08-01,B,120+,150+,14003.75,0.0,0.0
2009-08-01,B,150+,180+,39695.0,53698.75,1.0
2009-08-01,B,180+,GCO,32300.0,146646.25,1.0
2009-08-01,C,Current,30+,8267874.32,102722.5,0.012424
2009-08-01,C,30+,60+,55760.0,60945.0,1.0
2009-08-01,C,60+,90+,83045.0,60796.25,0.732088
2009-08-01,C,90+,120+,72016.25,79283.75,1.0
2009-08-01,C,150+,180+,67936.25,38675.0,0.569284
2009-08-01,D,Current,30+,4530096.32,38866.25,0.00858
2009-08-01,D,30+,60+,45241.25,41352.5,0.914044
2009-08-01,D,60+,90+,25330.0,24288.75,0.958893
2009-08-01,D,90+,120+,29006.25,33936.25,1.0
2009-08-01,D,120+,150+,27370.0,6375.0,0.232919
2009-08-01,D,150+,180+,51318.75,63537.5,1.0
2009-08-01,D,180+,GCO,13600.0,266666.25,1.0
2009-08-01,E,Current,30+,2104868.13,8500.0,0.004038
2009-08-01,E,30+,60+,13918.75,13918.75,1.0
2009-08-01,E,60+,90+,60647.5,60647.5,1.0
2009-08-01,E,90+,120+,8500.0,0.0,0.0
2009-08-01,E,150+,180+,17000.0,0.0,0.0
2009-08-01,E,180+,GCO,37633.75,101383.75,1.0
2009-08-01,F,Current,30+,533461.93,12750.0,0.0239
2009-08-01,F,30+,60+,21250.0,42500.0,1.0
2009-08-01,F,60+,90+,29325.0,0.0,0.0
2009-08-01,F,120+,150+,21356.25,15300.0,0.716418
2009-08-01,F,180+,GCO,5525.0,5525.0,1.0
2009-08-01,G,Current,30+,140849.0,0.0,0.0
2009-08-01,G,150+,180+,20400.0,20400.0,1.0
2009-09-01,A,Current,30+,6319654.28,15512.5,0.002455
2009-09-01,A,30+,60+,12112.5,9350.0,0.77193
2009-09-01,A,150+,180+,6800.0,15725.0,1.0
2009-09-01,A,180+,GCO,8925.0,0.0,0.0
2009-09-01,B,Current,30+,10432984.55,72122.5,0.006913
2009-09-01,B,30+,60+,74991.25,63048.75,0.840748
2009-09-01,B,60+,90+,30770.0,39227.5,1.0
2009-09-01,B,90+,120+,40757.5,47600.0,1.0
2009-09-01,B,120+,150+,26838.75,11538.75,0.429929
2009-09-01,B,180+,GCO,53698.75,186341.25,1.0
2009-09-01,C,Current,30+,8943923.66,92522.5,0.010345
2009-09-01,C,30+,60+,102722.5,75522.5,0.735209
2009-09-01,C,60+,90+,60945.0,61455.0,1.0
2009-09-01,C,90+,120+,60796.25,76925.0,1.0
2009-09-01,C,120+,150+,79283.75,68127.5,0.859287
2009-09-01,C,150+,180+,23141.25,10008.75,0.432507
2009-09-01,C,180+,GCO,38675.0,212351.25,1.0
2009-09-01,D,Current,30+,4776891.36,28453.75,0.005957
2009-09-01,D,30+,60+,38866.25,38866.25,1.0
2009-09-01,D,60+,90+,41352.5,41352.5,1.0
2009-09-01,D,90+,120+,24288.75,24288.75,1.0
2009-09-01,D,120+,150+,33936.25,33936.25,1.0
2009-09-01,D,150+,180+,6375.0,27370.0,1.0
2009-09-01,D,180+,GCO,63537.5,309208.75,1.0
2009-09-01,E,Current,30+,2343777.71,43328.75,0.018487
2009-09-01,E,30+,60+,8500.0,8500.0,1.0
2009-09-01,E,60+,90+,13918.75,13918.75,1.0
2009-09-01,E,90+,120+,60647.5,60647.5,1.0
2009-09-01,E,150+,180+,8500.0,0.0,0.0
2009-09-01,F,Current,30+,590092.71,0.0,0.0
2009-09-01,F,30+,60+,12750.0,34000.0,1.0
2009-09-01,F,60+,90+,42500.0,21250.0,0.5
2009-09-01,F,120+,150+,29325.0,9350.0,0.318841
2009-09-01,F,150+,180+,15300.0,19550.0,1.0
2009-09-01,F,180+,GCO,6056.25,7331.25,1.0
2009-09-01,G,Current,30+,142795.43,4250.0,0.029763
2009-09-01,G,180+,GCO,20400.0,20400.0,1.0
2009-10-01,A,Current,30+,7048531.19,12537.5,0.001779
2009-10-01,A,30+,60+,15512.5,20825.0,1.0
2009-10-01,A,60+,90+,9350.0,12112.5,1.0
